0.100000 ; 2.000000 ; 0.001100 ; 0.001000 ; 0.200000
0.200000 ; 2.000000 ; 0.001200 ; 0.001000 ; 0.200000
0.300000 ; 2.000000 ; 0.001300 ; 0.001000 ; 0.200000
0.400000 ; 2.000000 ; 0.001400 ; 0.001000 ; 0.200000
0.500000 ; 2.000000 ; 0.001500 ; 0.001000 ; 0.200000
0.600000 ; 2.000000 ; 0.001600 ; 0.001000 ; 0.200000
0.700000 ; 2.000000 ; 0.001700 ; 0.001000 ; 0.200000
0.800000 ; 2.000000 ; 0.001800 ; 0.001000 ; 0.200000
0.900000 ; 2.000000 ; 0.001900 ; 0.001000 ; 0.200000
1.000000 ; 2.000000 ; 0.002000 ; 0.001000 ; 0.200000
1.100000 ; 2.000000 ; 0.002100 ; 0.001000 ; 0.200000
1.200000 ; 2.000000 ; 0.002200 ; 0.001000 ; 0.200000
1.300000 ; 2.000000 ; 0.002300 ; 0.001000 ; 0.200000
1.400000 ; 2.000000 ; 0.002400 ; 0.001000 ; 0.200000
1.500000 ; 2.000000 ; 0.002500 ; 0.001000 ; 0.200000
1.600000 ; 2.000000 ; 0.002600 ; 0.001000 ; 0.200000
1.700000 ; 2.000000 ; 0.002700 ; 0.001000 ; 0.200000
1.800000 ; 2.000000 ; 0.002800 ; 0.001000 ; 0.200000
1.900000 ; 2.000000 ; 0.002900 ; 0.001000 ; 0.200000
2.000000 ; 2.000000 ; 0.003000 ; 0.001000 ; 0.200000
2.100000 ; 2.000000 ; 0.003100 ; 0.001000 ; 0.200000
2.200000 ; 2.000000 ; 0.003200 ; 0.001000 ; 0.200000
2.300000 ; 2.000000 ; 0.003300 ; 0.001000 ; 0.200000
2.400000 ; 2.000000 ; 0.003400 ; 0.001000 ; 0.200000
2.500000 ; 2.000000 ; 0.003500 ; 0.001000 ; 0.200000
2.600000 ; 2.000000 ; 0.003600 ; 0.001000 ; 0.200000
2.700000 ; 2.000000 ; 0.003700 ; 0.001000 ; 0.200000
2.799999 ; 2.000000 ; 0.003800 ; 0.001000 ; 0.200000
2.899999 ; 2.000000 ; 0.003900 ; 0.001000 ; 0.200000
2.999999 ; 2.000000 ; 0.004000 ; 0.001000 ; 0.200000
3.099999 ; 2.000000 ; 0.004100 ; 0.001000 ; 0.200000
3.199999 ; 2.000000 ; 0.004200 ; 0.001000 ; 0.200000
3.299999 ; 2.000000 ; 0.004300 ; 0.001000 ; 0.200000
3.399999 ; 2.000000 ; 0.004400 ; 0.001000 ; 0.200000
3.499999 ; 2.000000 ; 0.004500 ; 0.001000 ; 0.200000
3.599999 ; 2.000000 ; 0.004600 ; 0.001000 ; 0.200000
3.699999 ; 2.000000 ; 0.004700 ; 0.001000 ; 0.200000
3.799999 ; 2.000000 ; 0.004800 ; 0.001000 ; 0.200000
3.899998 ; 2.000000 ; 0.004900 ; 0.001000 ; 0.200000
3.999998 ; 2.000000 ; 0.005000 ; 0.001000 ; 0.200000
4.099998 ; 2.000000 ; 0.005100 ; 0.001000 ; 0.200000
4.199998 ; 2.000000 ; 0.005200 ; 0.001000 ; 0.200000
4.299998 ; 2.000000 ; 0.005300 ; 0.001000 ; 0.200000
4.399998 ; 2.000000 ; 0.005400 ; 0.001000 ; 0.200000
4.499998 ; 2.000000 ; 0.005500 ; 0.001000 ; 0.200000
4.599998 ; 2.000000 ; 0.005600 ; 0.001000 ; 0.200000
4.699998 ; 2.000000 ; 0.005700 ; 0.001000 ; 0.200000
4.799998 ; 2.000000 ; 0.005800 ; 0.001000 ; 0.200000
4.899998 ; 2.000000 ; 0.005900 ; 0.001000 ; 0.200000
4.999998 ; 2.000000 ; 0.006000 ; 0.001000 ; 0.200000
5.099998 ; 2.000000 ; 0.006100 ; 0.001000 ; 0.200000
5.199997 ; 2.000000 ; 0.006200 ; 0.001000 ; 0.200000
5.299997 ; 2.000000 ; 0.006300 ; 0.001000 ; 0.200000
5.399997 ; 2.000000 ; 0.006400 ; 0.001000 ; 0.200000
5.499997 ; 2.000000 ; 0.006500 ; 0.001000 ; 0.200000
5.599997 ; 2.000000 ; 0.006600 ; 0.001000 ; 0.200000
5.699997 ; 2.000000 ; 0.006700 ; 0.001000 ; 0.200000
5.799997 ; 2.000000 ; 0.006800 ; 0.001000 ; 0.200000
5.899997 ; 2.000000 ; 0.006900 ; 0.001000 ; 0.200000
5.999997 ; 2.000000 ; 0.007000 ; 0.001000 ; 0.200000
6.099997 ; 2.000000 ; 0.007100 ; 0.001000 ; 0.200000
6.199996 ; 2.000000 ; 0.007200 ; 0.001000 ; 0.200000
6.299996 ; 2.000000 ; 0.007300 ; 0.001000 ; 0.200000
6.399996 ; 2.000000 ; 0.007400 ; 0.001000 ; 0.200000
6.499996 ; 2.000000 ; 0.007500 ; 0.001000 ; 0.200000
6.599996 ; 2.000000 ; 0.007600 ; 0.001000 ; 0.200000
6.699996 ; 2.000000 ; 0.007700 ; 0.001000 ; 0.200000
6.799996 ; 2.000000 ; 0.007800 ; 0.001000 ; 0.200000
6.899996 ; 2.000000 ; 0.007900 ; 0.001000 ; 0.200000
6.999996 ; 2.000000 ; 0.008000 ; 0.001000 ; 0.200000
7.099996 ; 2.000000 ; 0.008100 ; 0.001000 ; 0.200000
7.199996 ; 2.000000 ; 0.008200 ; 0.001000 ; 0.200000
7.299995 ; 2.000000 ; 0.008300 ; 0.001000 ; 0.200000
7.399995 ; 2.000000 ; 0.008400 ; 0.001000 ; 0.200000
7.499995 ; 2.000000 ; 0.008500 ; 0.001000 ; 0.200000
